timestamp,joint_7,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
83.398,-0.30925,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
83.449,-0.30302,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
83.5,-0.29678,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
83.551,-0.29055,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
83.602,-0.28432,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.653,-0.27809,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.704,-0.27186,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.755,-0.26563,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.806,-0.2594,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.857,-0.25316,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.908,-0.24693,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
83.959,-0.24071,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.01,-0.23447,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.061,-0.22824,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.112,-0.22201,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.163,-0.21578,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.214,-0.20955,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64163
84.265,-0.20332,-0.02364,0.04084,0.03948,0.38427,-0.66382,-0.64163
84.316,-0.19708,-0.02364,0.04084,0.03948,0.38427,-0.66382,-0.64162
84.367,-0.19085,-0.02364,0.04084,0.03948,0.38427,-0.66382,-0.64162
84.418,-0.18462,-0.02364,0.04084,0.03948,0.38427,-0.66382,-0.64162
84.469,-0.17839,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.52,-0.17216,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.571,-0.16593,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.622,-0.1597,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.673,-0.15347,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.724,-0.14724,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.775,-0.141,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.826,-0.13477,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.877,-0.12854,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.928,-0.12231,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
84.978,-0.11608,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64162
85.03,-0.10985,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.081,-0.10362,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.132,-0.09739,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.183,-0.09115,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.234,-0.08492,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.285,-0.07869,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.336,-0.07246,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.387,-0.06623,-0.02364,0.04084,0.03948,0.38428,-0.66382,-0.64161
85.438,-0.06,-0.02364,0.04084,0.03948,0.38428,-0.66383,-0.64161
85.489,-0.05377,-0.02364,0.04084,0.03947,0.38428,-0.66383,-0.64161
85.54,-0.04754,-0.02364,0.04084,0.03947,0.38428,-0.66383,-0.64161
85.591,-0.04131,-0.02364,0.04084,0.03947,0.38428,-0.66383,-0.64161
85.642,-0.03507,-0.02364,0.04084,0.03947,0.38428,-0.66383,-0.64161
85.693,-0.02879,-0.02364,0.04084,0.03947,0.38428,-0.66383,-0.64161
85.744,-0.02322,-0.02364,0.04084,0.03947,0.38429,-0.66383,-0.64161
85.795,-0.01973,-0.02364,0.04084,0.03947,0.38429,-0.66383,-0.64161
